Name||NpcParamID||NpcThinkID
Abnormal Stone Cluster||44300022||44300000
Abnormal Stone Cluster||44301033||44301000
Alabaster Lord||36000062||36000062
Alabaster Lord||36001052||36001000
Albinauric Archer||31700052||31700000
Albinauric Archer||31701052||31700054
Albinauric Archer - NPC||31709020||31709000
Albinauric Lookout||36700120||36700000
Albinauric Lookout||36701138||36701120
Albinauric Lookout||36702238||36702200
Albinauric Lookout||36704020||36704000
Albinauric Lookout||36708020||36708000
Albinauric Lookout||36709020||36709000
Albinauric Lookout (Leyndell, Royal Capital)||36703034||36703000
Ancestor Spirit (Nonregal)||46700964||46700100
Ancestral Follower||33600062||33600000
Ancestral Follower||33601265||33601100
Ancestral Follower||33602265||33602000
Ancestral Follower (Siofra River)||33605064||33600000
Ancestral Follower (Siofra River)||33606064||33601000
Ancestral Follower (Siofra River)||33607264||33602000
Ancestral Follower Shaman||33700865||33700000
Ancient Dragon||45100572||45100200
Ancient Dragon||45101272||45100200
Ancient Dragon||45102272||45100300
Ancient Hero of Zamor (Boss)||71000030||71000000
Armored Troll Knight||46018021||46010020
Armored Troll Knight (Boss)||46010920||46010900
Ash Scarab||41920040||41920000
Ash Scarab||41921040||41920000
Ash Scarab||41922020||41920000
Ash Scarab||41925050||41920000
Astel, Stars of Darkness (Ainsel River)||46202060||46201000
Astel, Stars of Darkness (Lake of Rot)||46200062||46200100
Astel, Stars of Darkness (Snowfield Mine Clone)||46209152||46209100
Avionette||38600030||38600000
Avionette||38601024||38601001
Azula Beastman||39700072||39700000
Azula Beastman||39702072||39702000
Azula Beastman||39703172||39703100
Azula Beastman - Armored||39701272||39701000
Azur Corpse - NPC||37100032||37100000
Baleful Shadow||20108562||20108500
Ballista (Stormveil Castle)||81000014||81000000
Balloon||1300000||1300000
Banished Knight||30101172||30101000
Banished Knight (Niall Boss)||30106051||30106050
Banished Knight (Niall Boss)||30107051||30107050
Banished Knight (Stormveil Castle)||30100814||30100100
Banished Knight (Stormveil Castle)||30102014||30102000
Basilisk (Ainsel River)||41500060||41500000
Bat Harpy||42011100||42010000
Bat Harpy||42017020||42010000
Bat Harpy||42018026||42011000
Battlemage||37040054||37040020
Bear||60310022||60310000
Beast Clergyman (Farum Azula)||21100072||21100000
Black Blade Kindred||47700070||47700000
Black Blade Kindred (Leyndell, Royal Capital)||47701034||47701000
Black Blade Kindred Ruin  (Leyndell, Royal Capital)||47702034||47702000
Black Knife Assassin (Leyndell, Royal Capital)||21000034||21000000
Black Knife Assassin (Limgrave Catacombs Boss)||21001010||21000010
Black Knife Assassin (Unscaled)||21009000||21000000
Black Knife Assassin Alecto (Alecto)||21002922||21000000
Blaidd the Half-Wolf||20100000||20100000
Blaidd the Half-Wolf (Siofra River)||20109064||20100000
Bloodhound Knight||42900138||42900000
Bloodhound Knight||42909024||42909000
Bloodthorn Exile||43810032||43810000
Bloodthorn Exile||43811020||43810100
Boar||60500064||60500000
Boar||60501030||60501000
Braided Dog||41630072||41630000
Burial Watchdog||42604150||42600200
Burial Watchdog||42605150||42600200
Burial Watchdog (Cliffbottom Catacombs)||42601920||42601000
Burial Watchdog (Impalers Catacombs)||42600512||42600900
Burial Watchdog (Wyndham Catacombs)||42602932||42600000
Caravan Dummy||1100000||44000000
Castle Exile (Boss)||30008040||30000140
Castle Exile (Stormveil Castle)||30000114||30000400
Castle Exile (Stormveil Castle)||30001014||30001100
Castle Exile (Stormveil Castle)||30002014||30002000
Castle Exile (Stormveil Castle)||30003214||30003000
Cemetery Shade (Weeping Peninsula)||36640012||36640912
Clayman (Ainsel River)||37500060||37500100
Clayman (Ainsel River)||37501060||37501100
Clayman (Ainsel River)||37502060||37502100
Cleanrot Knight||38000056||38000000
Cleanrot Knight||38001056||38001000
Commander (Nieelelell)||30500140||30500940
Commoner||36600014||36600000
Commoner||36601438||36601000
Commoner||36602338||36602000
Commoner||36603020||36603000
Commoner||36608033||36608000
Commoner||36609165||36600000
Crab - Clean||22750024||22750020
Crab - Clean||22751024||22750020
Crab - Golden Tuffs||22770020||22770000
Crab - Maggots||22730020||22730000
Crab (Siofra River)||22710064||22710000
Crucible Knight||25009038||25009000
Crucible Knight (Boss)||25006020||25000000
Crucible Knight (Boss)||25007020||25001000
Crucible Knight (Leyndell, Royal Capital)||25001134||25001100
Crucible Knight (Unused)||25000014||25000050
Crystalian||33500154||33500000
Crystalian||33501154||33501000
Crystalian||33502154||33502000
Cuckoo Knight||43520020||43520000
Cuckoo Knight||43521120||43521000
Cuckoo Knight's Horse||43620020||43620000
Death Bird (Liurnia)||49800020||49800100
Death Rite Bird||49801020||49800100
Deer||60100064||60100000
Demi-Human||41000020||41000000
Demi-Human||41001020||41001000
Demi-Human||41002020||41002200
Demi-Human Beastman||41200020||41200000
Demi-Human Queen (Hermit Village Boss)||41300032||41300000
Demi-Human Queen (Volcano Cave Boss)||41301932||41301000
Demi-Human Shaman||41100020||41100000
Demi-Human Shaman - NPC (Leyndell, Royal Capital)||41109034||41109000
Depraved Perfumer||37000020||37000020
Depraved Perfumer (Shaded Castle)||37001031||37000000
Devious Commoner||36650014||36650000
Dog||31800021||31800020
Dominula Celebrant||30700030||30700100
Dominula Celebrant||30701030||30701000
Dominula Celebrant||30702030||30702000
Dominula Celebrant||30703030||30703100
Dominula Celebrant||30704030||30704000
Draconic Tree Sentinel (Farum Azula)||32500072||32500000
Dragon||45008024||45008000
Dragon||45020022||45020000
Dragon||45021922||45020922
Dragon - Agheel (Limgrave)||45000010||45000900
Dragon - Borealis (Mountaintops)||45030050||45030900
Dragon - Ekzykes (Caelid)||45010040||45010900
Dragon-faced Flamethrower||81100014||81100000
Dragonfly||60800064||60800000
Dragonfly||60810020||60810000
Dragonfly||60820040||60820000
Dragonkin Soldier of Nokstella Healthbar (Boss)||46500960||1
Dragonlord Placidusax||45200072||45200000
Dummy||10000000||1
Dummy||1002000||1
Dummy||1200000||1002000
Elden Beast||22000078||22000000
Elder Dragon Greyoll||45040042||45040000
Elemer of the Briar||31000020||31001000
Erdtree Avatar||48110056||48110000
Erdtree Avatar (Leyndell, Royal Capital)||48100034||48100000
Erdtree Guardian||36502040||36500100
Erdtree Guardian (Leyndell, Royal Capital)||36500034||36500000
Erdtree Guardian (Leyndell, Royal Capital)||36501034||36500000
Fading Giant Miranda Sprout||44820054||44820000
Fading Miranda Sprout||44830054||44830000
Fading Miranda Sprout||44831054||44831000
Fallen Hawk Soldier||70000065||70000000
Fallen Hawk Soldier||70001065||70001000
Fallen Hawk Soldier||70002065||70002000
Fallen Hawk Soldier||70003165||70003100
Fallingstar Beast||46801940||46800000
Fire Giant||47600050||47600900
Fire Giant||47601050||47600900
Fire Monk||39000050||39000000
Fire Monk||39001050||39001000
Fire Prelate||39100150||39100100
Fire Prelate||39101150||39101100
Flamethrower Tank||44607020||44600000
Flamethrower Tank||44608032||44600000
Full-Grown Fallingstar Beast (Volcano Top)||46800032||46800930
Fungal Pod||44400050||44400000
Fungal Sorcerer||43850012||43850000
Fungal Sorcerer||43858140||43850000
Ghiza Torturer||44700024||44700100
Ghiza Torturer (Leyndell, Royal Capital)||44701034||44701000
Ghiza Torturer (Unscaled)||44702000||44700000
Giant Ant - Sac||42810062||42800000
Giant Ant (Ainsel River)||42800160||42800100
Giant Ant Skull||42801162||42800000
Giant Ballista||81010030||81000000
Giant Bat||42000014||42000100
Giant Bat||42001050||42000000
Giant Crab - Clean||22740024||22740200
Giant Crab - Damaged||22720020||22720000
Giant Crab - Golden Tuffs||22760020||22760000
Giant Crab (Siofra River)||22700064||22700200
Giant Fingercreeper||42410150||42410050
Giant Fungal Pod||44410050||44410000
Giant Fungal Pod||44420040||44410000
Giant Land Octopus (Siofra River)||42200064||42200000
Giant Living Mass||41710468||41710010
Giant Lobster||44200035||44200000
Giant Lobster||44201020||44200000
Giant Lobster||44202020||44200000
Giant Lobster||44203050||44200000
Giant Miranda Sprout||44800370||44800000
Giant Oracle Envoy||36300054||36300000
Giant Rat (Stormveil Castle)||40900014||40900000
Giant Skeleton Torso||49600168||49600068
Giant Wormface||45801072||45800000
Giant Wormface||45802132||45800000
Giant Wormface (Boss)||45800030||45800900
Glintstone Miner||43831040||43831000
Glintstone Miner||43840040||43840000
Glintstone Miner (Sellia Tunnel)||43830040||43830000
Glintstone Raya Lucaria Scholar||37021024||37020000
Goat||60600064||60600000
Goat||60601010||60601000
Goat||60602010||60601000
Goat||60603000||60600000
Goat||60604030||60601000
Goat||60605030||60601000
God-Devouring Serpent / Rykard, Lord of Blasphemy||47100038||47100000
God-Devouring Serpent / Rykard, Lord of Blasphemy||47101038||47100000
Godfrey, First Elden Lord (Phantom)||47200134||47200000
Godrick Foot Soldier||43710010||43710000
Godrick Foot Soldier||43711510||43710210
Godrick Foot Soldier||43712010||43710000
Godrick Foot Soldier||43714012||43710500
Godrick Foot Soldier||43716010||43711000
Godrick Knight||43510010||43510000
Godrick Knight||43511112||43511000
Godrick Knight's Horse||43610012||43610000
Godrick Soldier||43110010||43110010
Godrick Soldier||43111306||43110200
Godrick Soldier||43112010||43112000
Godrick Soldier||43114006||43114006
Godrick the Grafted (Stormveil Castle)||47500014||47500000
