--Name||NpcParamID||NpcThinkID||CharaInitID||SpEffect,Speffect,SpEffect

--Human NPC
Tanith, Proprietress (Volcano Manor)||523000038||523000000||23000||-1
Tanith, Proprietress (Volcano Manor) 2||523000138||523000000||23000||-1
White Mask Varre (Mohgwyn Palace)||523010168||523010000||23010||-1
White Mask Varre (Liurnia of the Lakes)||523010020||523010000||23010||-1
White Mask Varre (B) (Limgrave)||523010010||523011000||23010||-1
White Mask Varre (C) (Mohgwyn Palace)||523010068||523012000||23010||-1
Roundtable Knight Vyke (Mountaintops of the Giants)||523040050||523040000||23040||-1
Festering Fingerprint Vyke (Bellum Highway)||523040020||523040000||23041||-1
Preceptor Seluvis (Liurnia of the Lakes)||523070020||523070000||23070||-1
Preceptor Seluvis (Liurnia of the Lakes) 2||523070120||523070000||23070||-1
Preceptor Seluvis (Liurnia of the Lakes) 3||523070220||523070000||23070||-1
Patches (Volcano Manor)||523090038||523090000||23090||-1
Patches (Murkwater Cave)||523090110||523090000||23090||-1
Patches (Murkwater Cave) 2||523090310||523090000||23090||-1
Patches (Liurnia of the Lakes)||523090020||523090000||23090||-1
Patches (Mt. Gelmir)||523090032||523090000||23090||-1
Patches (Mt. Gelmir) 2||523090132||523090000||23090||-1
Patches (Altus Plateau)||523090030||523090000||23090||-1
Patches (Murkwater Cave) 3||523090010||523090010||23090||-1
Patches (Murkwater Cave) 4||523090210||523090010||23090||-1
Irina of Morne (Weeping Peninsula)||523100012||523100000||23100||-1
Finger Maiden Hyetta (Subterranean Shunning-Grounds)||523100035||523100000||23101||-1
Lightseeker Hyetta (Liurnia of the Lakes)||523100220||523100000||23101||-1
Lightseeker Hyetta (Liurnia of the Lakes) 2||523100020||523100000||23101||-1
Lightseeker Hyetta (Liurnia of the Lakes) 3||523100120||523100000||23101||-1
Lightseeker Hyetta (Liurnia of the Lakes) 4||523100010||523100000||23101||-1
Irina of Morne (Weeping Peninsula) 2||523100112||523100000||23102||-1
Castellan Edgar (Weeping Peninsula)||523110012||523110000||23110||-1
Castellan Edgar (Weeping Peninsula) 2||523110112||523110000||23110||-1
Witch-Hunter Jerren (Academy of Raya Lucaria)||523120124||523120000||23120||-1
Castellan Jerren (Weeping Peninsula)||523120012||523120000||23120||-1
Castellan Jerren (Caelid)||523120040||523120000||23120||-1
Castellan Jerren (Caelid) 2||523120140||523120000||23120||-1
Witch-Hunter Jerren (Academy of Raya Lucaria) 2||523120024||523120000||23122||-1
Rya the Scout (Volcano Manor)||523130038||523130000||23130||-1
Zorayas the Scout (Volcano Manor)||523130138||523130000||23130||-1
Rya the Scout (Liurnia of the Lakes)||523130020||523130000||23130||-1
Rya the Scout (Liurnia of the Lakes) 2||523130130||523130000||23130||-1
Rya the Scout (Altus Plateau)||523130030||523130000||23130||-1
Knight Diallos (Roundtable Hold)||523140079||523140000||23140||-1
Knight Diallos (Roundtable Hold) 2||523140179||523140000||23140||-1
Knight Diallos (Volcano Manor)||523140038||523140000||23140||-1
Knight Diallos (Liurnia of the Lakes)||523140020||523140000||23140||-1
Potentate Diallos (Liurnia of the Lakes)||523140120||523140000||23140||-1
Potentate Diallos (Liurnia of the Lakes) 2||523140220||523140000||23140||-1
Human (Liurnia of the Lakes)||523150020||523150000||23150||-1
Sorceress Sellen (Weeping Peninsula)||523160012||523160000||23160||-1
Sorceress Sellen (m60_44_36_10)||523160010||523160000||23160||-1
Sorceress Sellen (Academy of Raya Lucaria)||523160024||523160000||23162||-1
Sorceress Sellen (Liurnia of the Lakes)||523160020||523160000||23162||-1
Sorceress Sellen (Weeping Peninsula) 2||523160012||523160000||23163||-1
Sorceress Sellen (B) (Academy of Raya Lucaria)||523160124||523161000||23162||-1
Yura, Hunter of Bloody Fingers (Roundtable Hold)||523180079||523180000||23180||-1
Yura, Hunter of Bloody Fingers (Liurnia of the Lakes)||523180020||523180000||23180||-1
Yura, Hunter of Bloody Fingers (Altus Plateau)||523180330||523180000||23180||-1
Yura, Hunter of Bloody Fingers (Limgrave)||523180010||523180000||23180||-1
Yura, Hunter of Bloody Fingers (m60_44_38_10)||523180210||523180000||23180||-1
Shabriri (Mountaintops of the Giants)||523180050||523180000||23182||-1
D, Hunter of the Dead (Roundtable Hold)||523190079||523190000||23190||-1
D, Hunter of the Dead (Roundtable Hold) 2||523190179||523190000||23190||-1
D, Hunter of the Dead (m60_44_39_10)||523190010||523190000||23191||-1
D, Hunter of the Dead (m60_45_39_10)||523190110||523190000||23191||-1
D, Beholder of Death (Siofra River)||523190065||523190000||23192||-1
D, Beholder of Death (Deeproot Depths)||523190066||523190000||23193||-1
Roderika (Roundtable Hold)||523200079||523200000||23200||-1
Heartbroken Maiden (Stormhill)||523200010||523200000||23200||-1
Roderika, Spirit Tuner (Roundtable Hold)||523200179||523200000||23201||-1
Roderika, Spirit Tuner (Roundtable Hold) 2||523200279||523200000||23201||-1
Kenneth Haight, Limgrave Heir (Stormveil Castle)||523210014||523210000||23210||-1
Kenneth Haight, Limgrave Heir (m60_45_38_10)||523210010||523210000||23210||-1
Kenneth Haight, Limgrave Heir (m60_46_36_10)||523210110||523210000||23210||-1
Fia, Deathbed Companion (Roundtable Hold)||523220079||523220000||23221||-1
Fia, Deathbed Companion (Roundtable Hold) 2||523220179||523220000||23221||-1
Fia, Deathbed Companion (Deeproot Depths)||523220066||523220000||23221||-1
Fia, Deathbed Companion (Deeproot Depths) 2||523220266||523220000||23221||-1
Fia, Deathbed Companion (Deeproot Depths) 3||523220366||523220000||23221||-1
Dung Eater (Roundtable Hold)||523230079||523230000||23230||-1
Dung Eater (Roundtable Hold) 2||523230179||523230000||23230||-1
Dung Eater (Subterranean Shunning-Grounds)||523230135||523230000||23230||-1
Dung Eater (Subterranean Shunning-Grounds) 2||523230035||523230000||23230||-1
Dung Eater (B) (Capital Outskirts)||523230033||543230000||23231||-1
Sir Gideon Ofnir (Roundtable Hold)||523240179||523240000||23240||-1
Sir Gideon Ofnir (Roundtable Hold) 2||523240079||523240000||23249||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital)||523240070||523240100||23241||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 2||523240070||523240100||23242||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 3||523240070||523240100||23243||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 4||523240070||523240100||23244||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 5||523240070||523240100||23245||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 6||523240070||523240100||23246||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 7||523240070||523240100||23247||-1
Sir Gideon Ofnir (B) (Leyndell, Ashen Capital) 8||523240070||523240100||23248||-1
Sorcerer Rogier (Stormveil Castle)||523250114||523250000||23250||-1
Sorcerer Rogier (Roundtable Hold)||523250079||523250000||23250||-1
Sorcerer Rogier (B) (Deeproot Depths)||523250066||523250100||23252||-1
Knight Bernahl (Stormhill)||523260010||523260000||23260||-1
Recusant Bernahl (Volcano Manor)||523260038||523260000||23261||-1
Human (Caelid)||523290040||523290000||23291||-1
Lionel the Lionhearted (B) (Deeproot Depths)||523290066||523290100||23290||-1
Blackguard (Liurnia of the Lakes)||523310020||523310000||23310||-1
Blackguard (m60_44_52_10)||523310133||523310000||23310||-1
Rykard-Hating Ghost (Volcano Manor)||523320038||523320000||23320||-1
Sorcerer Thops (Academy of Raya Lucaria)||523330024||523330000||23330||-1
Sorcerer Thops (Liurnia of the Lakes)||523330020||523330000||23330||-1
Nepheli Loux, Warrior (Stormveil Castle)||523340014||523340000||23340||-1
Nepheli Loux, Warrior (Stormveil Castle) 2||523340214||523340000||23340||-1
Nepheli Loux, Warrior (Roundtable Hold)||523340079||523340000||23340||-1
Nepheli Loux, Warrior (Roundtable Hold) 2||523340179||523340000||23340||-1
Nepheli Loux, Warrior (Liurnia of the Lakes)||523340020||523340000||23340||-1
Vyke's Finger Maiden (Bellum Highway)||523360012||523360000||23360||-1
Finger Maiden (Chapel of Anticipation)||523380016||523380000||23380||-1
Ensha of the Royal Remains (Roundtable Hold)||523390079||523390000||23390||-1
